i, r, v, t, mu, chi
84, 10.00000, 30.00000, 0.06256, 48000.00000, 1.39383
85, 10.00000, 30.00000, 0.06331, 48000.00000, 1.41118
86, 10.00000, 30.00000, 0.06405, 48000.00000, 1.42856
87, 10.00000, 30.00000, 0.06480, 48000.00000, 1.44598
88, 10.00000, 30.00000, 0.06554, 48000.00000, 1.46342
89, 10.00000, 30.00000, 0.06629, 48000.00000, 1.48090
90, 10.00000, 30.00000, 0.06703, 48000.00000, 1.49841
91, 10.00000, 30.00000, 0.06778, 48000.00000, 1.51596
92, 10.00000, 30.00000, 0.06852, 48000.00000, 1.53354
93, 10.00000, 30.00000, 0.06927, 48000.00000, 1.55115
94, 10.00000, 30.00000, 0.07001, 48000.00000, 1.56880
95, 10.00000, 30.00000, 0.07076, 48000.00000, 1.58649
96, 10.00000, 30.00000, 0.07150, 48000.00000, 1.60421
97, 10.00000, 30.00000, 0.07225, 48000.00000, 1.62197
98, 10.00000, 30.00000, 0.07299, 48000.00000, 1.63977
99, 10.00000, 30.00000, 0.07374, 48000.00000, 1.65761
100, 10.00000, 30.00000, 0.07448, 48000.00000, 1.67549
101, 10.00000, 30.00000, 0.07523, 48000.00000, 1.69340
102, 10.00000, 30.00000, 0.07597, 48000.00000, 1.71136
103, 10.00000, 30.00000, 0.07671, 48000.00000, 1.72936
104, 10.00000, 30.00000, 0.07746, 48000.00000, 1.74741
105, 10.00000, 30.00000, 0.07820, 48000.00000, 1.76549
106, 10.00000, 30.00000, 0.07895, 48000.00000, 1.78362
107, 10.00000, 30.00000, 0.07969, 48000.00000, 1.80180
108, 10.00000, 30.00000, 0.08044, 48000.00000, 1.82002
109, 10.00000, 30.00000, 0.08118, 48000.00000, 1.83828
110, 10.00000, 30.00000, 0.08193, 48000.00000, 1.85660
111, 10.00000, 30.00000, 0.08267, 48000.00000, 1.87496
112, 10.00000, 30.00000, 0.08342, 48000.00000, 1.89336
113, 10.00000, 30.00000, 0.08416, 48000.00000, 1.91182
114, 10.00000, 30.00000, 0.08491, 48000.00000, 1.93033
115, 10.00000, 30.00000, 0.08565, 48000.00000, 1.94889
116, 10.00000, 30.00000, 0.08640, 48000.00000, 1.96750
117, 10.00000, 30.00000, 0.08714, 48000.00000, 1.98616
118, 10.00000, 30.00000, 0.08789, 48000.00000, 2.00488
119, 10.00000, 30.00000, 0.08863, 48000.00000, 2.02365
120, 10.00000, 30.00000, 0.08938, 48000.00000, 2.04248
121, 10.00000, 30.00000, 0.09012, 48000.00000, 2.06136
122, 10.00000, 30.00000, 0.09087, 48000.00000, 2.08030
123, 10.00000, 30.00000, 0.09161, 48000.00000, 2.09930
124, 10.00000, 30.00000, 0.09236, 48000.00000, 2.11835
125, 10.00000, 30.00000, 0.09310, 48000.00000, 2.13747
126, 10.00000, 30.00000, 0.09385, 48000.00000, 2.15665
127, 10.00000, 30.00000, 0.09459, 48000.00000, 2.17589
128, 10.00000, 30.00000, 0.09533, 48000.00000, 2.19519
129, 10.00000, 30.00000, 0.09608, 48000.00000, 2.21456
130, 10.00000, 30.00000, 0.09682, 48000.00000, 2.23400
131, 10.00000, 30.00000, 0.09757, 48000.00000, 2.25350
132, 10.00000, 30.00000, 0.09831, 48000.00000, 2.27307
133, 10.00000, 30.00000, 0.09906, 48000.00000, 2.29270
134, 10.00000, 30.00000, 0.09980, 48000.00000, 2.31241
135, 10.00000, 30.00000, 0.10055, 48000.00000, 2.33219
136, 10.00000, 30.00000, 0.10129, 48000.00000, 2.35204
137, 10.00000, 30.00000, 0.10204, 48000.00000, 2.37197
138, 10.00000, 30.00000, 0.10278, 48000.00000, 2.39197
139, 10.00000, 30.00000, 0.10353, 48000.00000, 2.41205
140, 10.00000, 30.00000, 0.10427, 48000.00000, 2.43220
141, 10.00000, 30.00000, 0.10502, 48000.00000, 2.45244
142, 10.00000, 30.00000, 0.10576, 48000.00000, 2.47275
143, 10.00000, 30.00000, 0.10651, 48000.00000, 2.49315
144, 10.00000, 30.00000, 0.10725, 48000.00000, 2.51363
145, 10.00000, 30.00000, 0.10800, 48000.00000, 2.53420
146, 10.00000, 30.00000, 0.10874, 48000.00000, 2.55485
147, 10.00000, 30.00000, 0.10949, 48000.00000, 2.57559
148, 10.00000, 30.00000, 0.11023, 48000.00000, 2.59643
149, 10.00000, 30.00000, 0.11098, 48000.00000, 2.61735
150, 10.00000, 30.00000, 0.11172, 48000.00000, 2.63837
151, 10.00000, 30.00000, 0.11247, 48000.00000, 2.65948
152, 10.00000, 30.00000, 0.11321, 48000.00000, 2.68069
153, 10.00000, 30.00000, 0.11395, 48000.00000, 2.70200
154, 10.00000, 30.00000, 0.11470, 48000.00000, 2.72340
155, 10.00000, 30.00000, 0.11544, 48000.00000, 2.74492
156, 10.00000, 30.00000, 0.11619, 48000.00000, 2.76653
157, 10.00000, 30.00000, 0.11693, 48000.00000, 2.78825
158, 10.00000, 30.00000, 0.11768, 48000.00000, 2.81008
159, 10.00000, 30.00000, 0.11842, 48000.00000, 2.83203
160, 10.00000, 30.00000, 0.11917, 48000.00000, 2.85408
161, 10.00000, 30.00000, 0.11991, 48000.00000, 2.87625
162, 10.00000, 30.00000, 0.12066, 48000.00000, 2.89854
163, 10.00000, 30.00000, 0.12140, 48000.00000, 2.92095
164, 10.00000, 30.00000, 0.12215, 48000.00000, 2.94348
165, 10.00000, 30.00000, 0.12289, 48000.00000, 2.96614
166, 10.00000, 30.00000, 0.12364, 48000.00000, 2.98892
167, 10.00000, 30.00000, 0.12438, 48000.00000, 3.01184
168, 10.00000, 30.00000, 0.12513, 48000.00000, 3.03488
169, 10.00000, 30.00000, 0.12587, 48000.00000, 3.05807
170, 10.00000, 30.00000, 0.12662, 48000.00000, 3.08139
171, 10.00000, 30.00000, 0.12736, 48000.00000, 3.10486
172, 10.00000, 30.00000, 0.12811, 48000.00000, 3.12846
173, 10.00000, 30.00000, 0.12885, 48000.00000, 3.15222
174, 10.00000, 30.00000, 0.12960, 48000.00000, 3.17613
175, 10.00000, 30.00000, 0.13034, 48000.00000, 3.20020
176, 10.00000, 30.00000, 0.13109, 48000.00000, 3.22442
177, 10.00000, 30.00000, 0.13183, 48000.00000, 3.24881
178, 10.00000, 30.00000, 0.13258, 48000.00000, 3.27336
179, 10.00000, 30.00000, 0.13332, 48000.00000, 3.29808
180, 10.00000, 30.00000, 0.13406, 48000.00000, 3.32298
181, 10.00000, 30.00000, 0.13481, 48000.00000, 3.34805
182, 10.00000, 30.00000, 0.13555, 48000.00000, 3.37331
183, 10.00000, 30.00000, 0.13630, 48000.00000, 3.39875
184, 10.00000, 30.00000, 0.13704, 48000.00000, 3.42438
185, 10.00000, 30.00000, 0.13779, 48000.00000, 3.45021
186, 10.00000, 30.00000, 0.13853, 48000.00000, 3.47625
187, 10.00000, 30.00000, 0.13928, 48000.00000, 3.50249
188, 10.00000, 30.00000, 0.14002, 48000.00000, 3.52894
189, 10.00000, 30.00000, 0.14077, 48000.00000, 3.55561
190, 10.00000, 30.00000, 0.14151, 48000.00000, 3.58250
191, 10.00000, 30.00000, 0.14226, 48000.00000, 3.60962
192, 10.00000, 30.00000, 0.14300, 48000.00000, 3.63698
193, 10.00000, 30.00000, 0.14375, 48000.00000, 3.66458
194, 10.00000, 30.00000, 0.14449, 48000.00000, 3.69242
195, 10.00000, 30.00000, 0.14524, 48000.00000, 3.72053
196, 10.00000, 30.00000, 0.14598, 48000.00000, 3.74890
197, 10.00000, 30.00000, 0.14673, 48000.00000, 3.77754
198, 10.00000, 30.00000, 0.14747, 48000.00000, 3.80645
199, 10.00000, 30.00000, 0.14822, 48000.00000, 3.83566
200, 10.00000, 30.00000, 0.14896, 48000.00000, 3.86516
201, 10.00000, 30.00000, 0.14971, 48000.00000, 3.89497
202, 10.00000, 30.00000, 0.15045, 48000.00000, 3.92510
203, 10.00000, 30.00000, 0.15120, 48000.00000, 3.95554
204, 10.00000, 30.00000, 0.15194, 48000.00000, 3.98633
205, 10.00000, 30.00000, 0.15268, 48000.00000, 4.01746
206, 10.00000, 30.00000, 0.15343, 48000.00000, 4.04896
207, 10.00000, 30.00000, 0.15417, 48000.00000, 4.08082
208, 10.00000, 30.00000, 0.15492, 48000.00000, 4.11307
209, 10.00000, 30.00000, 0.15566, 48000.00000, 4.14572
210, 10.00000, 30.00000, 0.15641, 48000.00000, 4.17877
211, 10.00000, 30.00000, 0.15715, 48000.00000, 4.21226
212, 10.00000, 30.00000, 0.15790, 48000.00000, 4.24619
213, 10.00000, 30.00000, 0.15864, 48000.00000, 4.28059
214, 10.00000, 30.00000, 0.15939, 48000.00000, 4.31546
215, 10.00000, 30.00000, 0.16013, 48000.00000, 4.35083
216, 10.00000, 30.00000, 0.16088, 48000.00000, 4.38671
217, 10.00000, 30.00000, 0.16162, 48000.00000, 4.42314
218, 10.00000, 30.00000, 0.16237, 48000.00000, 4.46013
219, 10.00000, 30.00000, 0.16311, 48000.00000, 4.49771
220, 10.00000, 30.00000, 0.16386, 48000.00000, 4.53591
221, 10.00000, 30.00000, 0.16460, 48000.00000, 4.57474
222, 10.00000, 30.00000, 0.16535, 48000.00000, 4.61425
223, 10.00000, 30.00000, 0.16609, 48000.00000, 4.65446
224, 10.00000, 30.00000, 0.16684, 48000.00000, 4.69541
225, 10.00000, 30.00000, 0.16758, 48000.00000, 4.73714
226, 10.00000, 30.00000, 0.16833, 48000.00000, 4.77968
227, 10.00000, 30.00000, 0.16907, 48000.00000, 4.82309
228, 10.00000, 30.00000, 0.16982, 48000.00000, 4.86740
229, 10.00000, 30.00000, 0.17056, 48000.00000, 4.91266
230, 10.00000, 30.00000, 0.17130, 48000.00000, 4.95894
231, 10.00000, 30.00000, 0.17205, 48000.00000, 5.00630
232, 10.00000, 30.00000, 0.17279, 48000.00000, 5.05479
233, 10.00000, 30.00000, 0.17354, 48000.00000, 5.10449
234, 10.00000, 30.00000, 0.17428, 48000.00000, 5.15548
235, 10.00000, 30.00000, 0.17503, 48000.00000, 5.20785
236, 10.00000, 30.00000, 0.17577, 48000.00000, 5.26169
237, 10.00000, 30.00000, 0.17652, 48000.00000, 5.31712
238, 10.00000, 30.00000, 0.17726, 48000.00000, 5.37424
239, 10.00000, 30.00000, 0.17801, 48000.00000, 5.43319
240, 10.00000, 30.00000, 0.17875, 48000.00000, 5.49411
241, 10.00000, 30.00000, 0.17950, 48000.00000, 5.55718
242, 10.00000, 30.00000, 0.18024, 48000.00000, 5.62258
243, 10.00000, 30.00000, 0.18099, 48000.00000, 5.69051
244, 10.00000, 30.00000, 0.18173, 48000.00000, 5.76122
245, 10.00000, 30.00000, 0.18248, 48000.00000, 5.83497
246, 10.00000, 30.00000, 0.18322, 48000.00000, 5.91206
247, 10.00000, 30.00000, 0.18397, 48000.00000, 5.99285
248, 10.00000, 30.00000, 0.18471, 48000.00000, 6.07773
