t,x,y
9.65197,-8.36368,4.77016
9.64997,-7.98607,4.78809
9.64796,-7.60789,4.80599
9.64596,-7.22904,4.82389
9.64396,-6.84996,4.84175
9.64196,-6.47015,4.85960
9.63996,-6.08940,4.87746
9.63796,-5.70822,4.89530
9.63596,-5.32679,4.91309
9.63396,-4.94490,4.93086
9.63196,-4.56190,4.94864
9.62996,-4.17862,4.96640
9.62796,-3.79505,4.98412
9.62596,-3.41015,5.00187
9.62396,-3.02520,5.01957
9.62196,-2.63996,5.03723
9.61996,-2.25358,5.05492
9.61796,-1.86691,5.07257
9.61596,-1.47963,5.09021
9.61396,-1.09205,5.10781
9.61196,-0.70396,5.12539
9.60996,-0.31471,5.14299
9.60796,0.07453,5.16054
9.60596,0.46463,5.17810
9.60396,0.85540,5.19564
9.60196,1.24645,5.21315
9.59996,1.63784,5.23062
9.59796,2.03033,5.24811
9.59596,2.42305,5.26557
9.59396,2.81630,5.28300
9.59196,3.21016,5.30043
9.58996,3.60441,5.31781
9.58796,3.99942,5.33521
9.58596,4.39477,5.35256
9.58396,4.79059,5.36990
9.58196,5.18718,5.38723
9.57996,5.58424,5.40454
9.57796,5.98173,5.42183
9.57596,6.37989,5.43910
9.57396,6.77862,5.45636
9.57196,7.17745,5.47358
9.56996,7.57728,5.49080
9.56796,7.97754,5.50799
9.56596,8.37841,5.52518
9.56396,8.77962,5.54234
9.56196,9.18131,5.55946
9.55996,9.58371,5.57659
9.55796,9.98659,5.59370
9.55596,10.38976,5.61077
9.55396,10.79359,5.62783
9.55196,11.19809,5.64488
9.54996,11.60226,5.66186
9.54795,12.00819,5.67890
9.54595,12.41398,5.69588
9.54395,12.82020,5.71283
9.54195,13.22742,5.72979
9.53995,13.63444,5.74670
9.53795,14.04276,5.76362
9.53595,14.45112,5.78051
9.53395,14.85973,5.79735
9.53195,15.26952,5.81422
9.52995,15.67903,5.83102
9.52795,16.08920,5.84781
9.52595,16.50033,5.86460
9.52395,16.91170,5.88137
9.52195,17.32359,5.89811
9.51995,17.73596,5.91483
9.51795,18.14876,5.93153
9.51595,18.56236,5.94822
9.51395,18.97621,5.96489
9.51195,19.39049,5.98153
9.50995,19.80524,5.99814
9.50795,20.22042,6.01474
9.50595,20.63613,6.03131
9.50395,21.05251,6.04788
9.50195,21.46936,6.06442
9.49995,21.88630,6.08092
9.49795,22.30425,6.09743
9.49595,22.72248,6.11392
9.49395,23.14091,6.13035
9.49195,23.55995,6.14678
9.48995,23.97971,6.16321
9.48795,24.39966,6.17959
9.48595,24.82009,6.19596
9.48395,25.24080,6.21228
9.48195,25.66256,6.22863
9.47995,26.08437,6.24493
9.47795,26.50676,6.26122
9.47595,26.92966,6.27748
9.47395,27.35281,6.29371
9.47195,27.77667,6.30994
9.46995,28.20096,6.32613
9.46795,28.62554,6.34231
9.46595,29.05021,6.35843
9.46395,29.47607,6.37459
9.46195,29.90174,6.39068
9.45995,30.32827,6.40676
9.45795,30.75519,6.42283
9.45595,31.18257,6.43888
9.45395,31.61034,6.45490
9.45195,32.03860,6.47090
9.44995,32.46722,6.48686
9.44794,32.89633,6.50282
9.44594,33.32590,6.51875
9.44394,33.75564,6.53464
9.44194,34.18589,6.55052
9.43994,34.61666,6.56638
9.43794,35.04801,6.58222
9.43594,35.47974,6.59804
9.43394,35.91194,6.61385
9.43194,36.34462,6.62962
9.42994,36.77740,6.64536
9.42794,37.21118,6.66111
9.42594,37.64481,6.67680
9.42394,38.07878,6.69247
9.42194,38.51347,6.70812
9.41994,38.94868,6.72377
9.41794,39.38374,6.73935
9.41594,39.82024,6.75497
9.41394,40.25640,6.77052
9.41194,40.69305,6.78606
9.40994,41.13016,6.80158
9.40794,41.56785,6.81707
9.40594,42.00583,6.83254
9.40394,42.44404,6.84798
9.40194,42.88229,6.86337
9.39994,43.32180,6.87880
9.39794,43.76144,6.89417
9.39594,44.20166,6.90953
9.39394,44.64164,6.92484
9.39194,45.08238,6.94015
9.38994,45.52360,6.95543
9.38794,45.96558,6.97070
9.38594,46.40718,6.98592
9.38394,46.84983,7.00114
9.38194,47.29204,7.01630
9.37994,47.73507,7.03145
9.37794,48.17876,7.04659
9.37594,48.62247,7.06169
9.37394,49.06693,7.07679
9.37194,49.51163,7.09186
9.36994,49.95657,7.10689
9.36794,50.40183,7.12189
9.36594,50.84796,7.13690
9.36394,51.29395,7.15185
9.36194,51.74045,7.16680
9.35994,52.18721,7.18169
9.35794,52.63438,7.19658
9.35594,53.08194,7.21144
9.35394,53.53027,7.22630
9.35194,53.97853,7.24111
9.34993,54.42776,7.25592
9.34793,54.87599,7.27063
9.34593,55.32560,7.28539
9.34393,55.77588,7.30012
9.34193,56.22587,7.31480
9.33993,56.67619,7.32945
9.33793,57.12719,7.34409
9.33593,57.57842,7.35870
9.33393,58.03017,7.37329
9.33193,58.48212,7.38787
9.32993,58.93440,7.40240
9.32793,59.38716,7.41692
9.32593,59.84016,7.43140
9.32393,60.29349,7.44586
9.32193,60.74724,7.46030
9.31993,61.20090,7.47469
9.31793,61.65481,7.48904
9.31593,62.11000,7.50342
9.31393,62.56475,7.51775
9.31193,63.02023,7.53205
9.30993,63.47589,7.54633
9.30793,63.93180,7.56058
9.30593,64.38841,7.57482
9.30393,64.84537,7.58904
9.30193,65.30199,7.60319
9.29993,65.75961,7.61735
9.29793,66.21680,7.63144
9.29593,66.67471,7.64553
9.29393,67.13328,7.65962
9.29193,67.59171,7.67365
