ticks,x,y,a,vx,vy,va,tx,ty,ta,updates,thrusters
2045,1.524,2.202,0.966,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2050,1.705,2.464,0.966,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2055,1.887,2.726,0.966,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2060,2.068,2.988,0.966,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2065,2.249,3.250,0.966,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2070,2.431,3.513,0.966,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2075,2.612,3.775,0.966,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2080,2.794,4.037,0.967,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2085,2.975,4.299,0.967,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2090,3.156,4.561,0.967,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2095,3.338,4.823,0.967,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2100,3.519,5.085,0.967,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2105,3.701,5.348,0.967,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2110,3.882,5.610,0.967,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2115,4.063,5.872,0.967,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2120,4.245,6.134,0.967,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2125,4.426,6.396,0.967,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2130,4.608,6.658,0.967,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2135,4.789,6.920,0.967,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2140,4.970,7.182,0.967,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2145,5.152,7.445,0.967,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2150,5.333,7.707,0.968,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2155,5.515,7.969,0.968,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2160,5.696,8.231,0.968,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2165,5.877,8.493,0.968,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2170,6.059,8.755,0.968,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2175,6.240,9.017,0.968,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2180,6.422,9.280,0.968,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2185,6.603,9.542,0.968,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2190,6.784,9.804,0.968,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2195,6.966,10.066,0.968,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2200,7.147,10.328,0.968,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2205,7.329,10.590,0.968,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2210,7.510,10.852,0.968,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2215,7.691,11.115,0.968,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2220,7.873,11.377,0.969,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2225,8.054,11.639,0.969,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2230,8.236,11.901,0.969,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2235,8.417,12.163,0.969,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2240,8.598,12.425,0.969,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2245,8.780,12.687,0.969,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2250,8.961,12.949,0.969,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2255,9.143,13.212,0.969,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2260,9.324,13.474,0.969,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2265,9.505,13.736,0.969,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2270,9.687,13.998,0.969,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2275,9.868,14.260,0.969,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2280,10.049,14.522,0.969,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2285,10.231,14.784,0.969,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2290,10.412,15.047,0.970,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2295,10.594,15.309,0.970,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2300,10.775,15.571,0.970,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2305,10.956,15.833,0.970,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2310,11.138,16.095,0.970,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2315,11.319,16.357,0.970,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2320,11.501,16.619,0.970,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2325,11.682,16.882,0.970,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2330,11.863,17.144,0.970,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2335,12.045,17.406,0.970,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2340,12.226,17.668,0.970,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2345,12.408,17.930,0.970,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2350,12.589,18.192,0.970,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2355,12.770,18.454,0.970,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2360,12.952,18.716,0.971,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2365,13.133,18.979,0.971,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2370,13.315,19.241,0.971,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2375,13.496,19.503,0.971,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2380,13.677,19.765,0.971,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2385,13.859,20.027,0.971,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2390,14.040,20.289,0.971,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2395,14.222,20.551,0.971,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2400,14.403,20.814,0.971,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2405,14.584,21.076,0.971,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2410,14.766,21.338,0.971,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2415,14.947,21.600,0.971,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2420,15.129,21.862,0.971,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2425,15.310,22.124,0.971,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2430,15.491,22.386,0.972,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2435,15.673,22.649,0.972,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2440,15.854,22.911,0.972,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2445,16.036,23.173,0.972,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2450,16.217,23.435,0.972,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2455,16.398,23.697,0.972,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2460,16.580,23.959,0.972,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2465,16.761,24.221,0.972,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2470,16.943,24.483,0.972,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2475,17.124,24.746,0.972,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2480,17.305,25.008,0.972,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2485,17.487,25.270,0.972,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2490,17.668,25.532,0.972,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2495,17.850,25.794,0.972,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2500,18.031,26.056,0.972,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2505,18.212,26.318,0.973,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2510,18.394,26.581,0.973,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2515,18.575,26.843,0.973,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2520,18.757,27.105,0.973,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2525,18.938,27.367,0.973,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2530,19.119,27.629,0.973,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2535,19.301,27.891,0.973,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2540,19.482,28.153,0.973,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2545,19.664,28.416,0.973,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2550,19.845,28.678,0.973,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2555,20.026,28.940,0.973,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2560,20.208,29.202,0.973,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2565,20.389,29.464,0.973,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2570,20.571,29.726,0.973,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2575,20.752,29.988,0.974,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2580,20.933,30.250,0.974,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2585,21.115,30.513,0.974,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2590,21.296,30.775,0.974,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2595,21.478,31.037,0.974,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2600,21.659,31.299,0.974,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2605,21.840,31.561,0.974,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2610,22.022,31.823,0.974,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2615,22.203,32.085,0.974,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2620,22.385,32.348,0.974,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2625,22.566,32.610,0.974,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2630,22.747,32.872,0.974,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2635,22.929,33.134,0.974,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2640,23.110,33.396,0.974,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2645,23.292,33.658,0.975,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2650,23.473,33.920,0.975,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2655,23.654,34.182,0.975,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2660,23.836,34.445,0.975,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2665,24.017,34.707,0.975,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2670,24.199,34.969,0.975,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2675,24.380,35.231,0.975,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2680,24.561,35.493,0.975,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2685,24.743,35.755,0.975,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2690,24.924,36.017,0.975,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2695,25.106,36.279,0.975,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2700,25.287,36.542,0.975,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2705,25.468,36.804,0.975,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2710,25.650,37.066,0.975,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2715,25.831,37.328,0.976,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2720,26.013,37.590,0.976,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2725,26.194,37.852,0.976,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2730,26.375,38.114,0.976,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2735,26.557,38.376,0.976,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2740,26.738,38.639,0.976,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2745,26.920,38.901,0.976,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2750,27.101,39.163,0.976,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2755,27.282,39.425,0.976,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2760,27.464,39.687,0.976,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2765,27.645,39.949,0.976,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2770,27.827,40.211,0.976,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2775,28.008,40.474,0.976,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2780,28.189,40.736,0.976,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2785,28.371,40.998,0.977,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2790,28.552,41.260,0.977,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2795,28.734,41.522,0.977,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2800,28.915,41.784,0.977,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2805,29.096,42.046,0.977,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2810,29.278,42.308,0.977,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2815,29.459,42.571,0.977,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2820,29.641,42.833,0.977,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2825,29.822,43.095,0.977,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2830,30.003,43.357,0.977,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2835,30.185,43.619,0.977,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2840,30.366,43.881,0.977,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2845,30.548,44.143,0.977,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2850,30.729,44.405,0.977,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2855,30.910,44.668,0.978,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2860,31.092,44.930,0.978,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2865,31.273,45.192,0.978,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2870,31.455,45.454,0.978,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2875,31.636,45.716,0.978,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2880,31.817,45.978,0.978,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2885,31.999,46.240,0.978,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2890,32.180,46.502,0.978,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2895,32.362,46.765,0.978,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2900,32.543,47.027,0.978,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2905,32.724,47.289,0.978,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2910,32.906,47.551,0.978,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2915,33.087,47.813,0.978,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2920,33.269,48.075,0.978,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2925,33.450,48.337,0.979,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2930,33.631,48.599,0.979,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2935,33.813,48.862,0.979,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2940,33.994,49.124,0.979,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2945,34.176,49.386,0.979,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2950,34.357,49.648,0.979,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2955,34.538,49.910,0.979,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2960,34.720,50.172,0.979,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2965,34.901,50.434,0.979,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2970,35.083,50.696,0.979,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2975,35.264,50.959,0.979,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2980,35.445,51.221,0.979,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2985,35.627,51.483,0.979,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2990,35.808,51.745,0.979,1.814,2.621,0.001,100.000,100.000,1.300,5,0
2995,35.990,52.007,0.980,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3000,36.171,52.269,0.980,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3005,36.352,52.531,0.980,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3010,36.534,52.793,0.980,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3015,36.715,53.056,0.980,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3020,36.897,53.318,0.980,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3025,37.078,53.580,0.980,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3030,37.260,53.842,0.980,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3035,37.441,54.104,0.980,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3040,37.622,54.366,0.980,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3045,37.804,54.628,0.980,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3050,37.985,54.890,0.980,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3055,38.167,55.153,0.980,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3060,38.348,55.415,0.980,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3065,38.529,55.677,0.981,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3070,38.711,55.939,0.981,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3075,38.892,56.201,0.981,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3080,39.074,56.463,0.981,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3085,39.255,56.725,0.981,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3090,39.436,56.987,0.981,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3095,39.618,57.250,0.981,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3100,39.799,57.512,0.981,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3105,39.981,57.774,0.981,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3110,40.162,58.036,0.981,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3115,40.343,58.298,0.981,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3120,40.525,58.560,0.981,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3125,40.706,58.822,0.981,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3130,40.888,59.085,0.981,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3135,41.069,59.347,0.982,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3140,41.251,59.609,0.982,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3145,41.432,59.871,0.982,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3150,41.613,60.133,0.982,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3155,41.795,60.395,0.982,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3160,41.976,60.657,0.982,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3165,42.158,60.919,0.982,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3170,42.339,61.182,0.982,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3175,42.520,61.444,0.982,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3180,42.702,61.706,0.982,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3185,42.883,61.968,0.982,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3190,43.065,62.230,0.982,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3195,43.246,62.492,0.982,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3200,43.427,62.754,0.982,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3205,43.609,63.016,0.983,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3210,43.790,63.279,0.983,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3215,43.972,63.541,0.983,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3220,44.153,63.803,0.983,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3225,44.334,64.065,0.983,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3230,44.516,64.327,0.983,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3235,44.697,64.589,0.983,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3240,44.879,64.851,0.983,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3245,45.060,65.114,0.983,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3250,45.241,65.376,0.983,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3255,45.423,65.638,0.983,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3260,45.604,65.900,0.983,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3265,45.786,66.162,0.983,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3270,45.967,66.424,0.983,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3275,46.149,66.686,0.983,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3280,46.330,66.949,0.984,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3285,46.511,67.211,0.984,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3290,46.693,67.473,0.984,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3295,46.874,67.735,0.984,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3300,47.056,67.997,0.984,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3305,47.237,68.259,0.984,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3310,47.418,68.521,0.984,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3315,47.600,68.784,0.984,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3320,47.781,69.046,0.984,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3325,47.963,69.308,0.984,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3330,48.144,69.570,0.984,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3335,48.325,69.832,0.984,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3340,48.507,70.094,0.984,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3345,48.688,70.356,0.984,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3350,48.870,70.619,0.985,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3355,49.051,70.881,0.985,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3360,49.232,71.143,0.985,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3365,49.414,71.405,0.985,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3370,49.595,71.667,0.985,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3375,49.777,71.929,0.985,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3380,49.958,72.191,0.985,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3385,50.139,72.454,0.985,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3390,50.321,72.716,0.985,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3395,50.502,72.978,0.985,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3400,50.684,73.240,0.985,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3405,50.865,73.502,0.985,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3410,51.047,73.764,0.985,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3415,51.228,74.026,0.985,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3420,51.409,74.289,0.986,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3425,51.591,74.551,0.986,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3430,51.772,74.813,0.986,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3435,51.954,75.075,0.986,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3440,52.135,75.337,0.986,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3445,52.316,75.599,0.986,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3450,52.498,75.862,0.986,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3455,52.679,76.124,0.986,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3460,52.861,76.386,0.986,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3465,53.042,76.648,0.986,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3470,53.223,76.910,0.986,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3475,53.405,77.172,0.986,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3480,53.586,77.434,0.986,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3485,53.768,77.697,0.986,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3490,53.949,77.959,0.987,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3495,54.130,78.221,0.987,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3500,54.312,78.483,0.987,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3505,54.493,78.745,0.987,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3510,54.675,79.007,0.987,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3515,54.856,79.269,0.987,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3520,55.038,79.532,0.987,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3525,55.219,79.794,0.987,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3530,55.400,80.056,0.987,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3535,55.582,80.318,0.987,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3540,55.763,80.580,0.987,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3545,55.945,80.842,0.987,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3550,56.126,81.104,0.987,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3555,56.307,81.367,0.987,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3560,56.489,81.629,0.988,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3565,56.670,81.891,0.988,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3570,56.852,82.153,0.988,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3575,57.033,82.415,0.988,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3580,57.214,82.677,0.988,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3585,57.396,82.939,0.988,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3590,57.577,83.202,0.988,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3595,57.759,83.464,0.988,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3600,57.940,83.726,0.988,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3605,58.121,83.988,0.988,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3610,58.303,84.250,0.988,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3615,58.484,84.512,0.988,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3620,58.666,84.774,0.988,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3625,58.847,85.037,0.988,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3630,59.028,85.299,0.989,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3635,59.210,85.561,0.989,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3640,59.391,85.823,0.989,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3645,59.573,86.085,0.989,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3650,59.754,86.347,0.989,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3655,59.936,86.609,0.989,1.814,2.621,0.001,100.000,100.000,1.300,5,0
3660,60.117,86.872,0.989,1.814,2.621,0.001,100.000,100.000,1.300,5,0
