ta,ea,ma,ea2,ta2
1.59987,0.66115,0.16993,0.66115,1.59987
1.60616,0.66502,0.17136,0.66502,1.60616
1.61244,0.66891,0.17281,0.66891,1.61244
1.61873,0.67283,0.17427,0.67283,1.61873
1.62502,0.67676,0.17574,0.67676,1.62502
1.63130,0.68071,0.17723,0.68071,1.63130
1.63759,0.68469,0.17874,0.68469,1.63759
1.64387,0.68868,0.18027,0.68868,1.64387
1.65016,0.69270,0.18181,0.69270,1.65016
1.65645,0.69674,0.18336,0.69674,1.65645
1.66273,0.70080,0.18493,0.70080,1.66273
1.66902,0.70488,0.18653,0.70488,1.66902
1.67531,0.70898,0.18813,0.70898,1.67531
1.68159,0.71311,0.18976,0.71311,1.68159
1.68788,0.71726,0.19140,0.71726,1.68788
1.69417,0.72143,0.19306,0.72143,1.69417
1.70045,0.72563,0.19474,0.72563,1.70045
1.70674,0.72984,0.19644,0.72984,1.70674
1.71302,0.73409,0.19816,0.73409,1.71302
1.71931,0.73835,0.19990,0.73835,1.71931
1.72560,0.74264,0.20165,0.74264,1.72560
1.73188,0.74696,0.20343,0.74696,1.73188
1.73817,0.75130,0.20523,0.75130,1.73817
1.74446,0.75566,0.20704,0.75566,1.74446
1.75074,0.76005,0.20888,0.76005,1.75074
1.75703,0.76447,0.21074,0.76447,1.75703
1.76332,0.76891,0.21263,0.76891,1.76332
1.76960,0.77337,0.21453,0.77337,1.76960
1.77589,0.77786,0.21646,0.77787,1.77589
1.78217,0.78238,0.21841,0.78238,1.78217
1.78846,0.78693,0.22038,0.78693,1.78846
1.79475,0.79150,0.22237,0.79150,1.79475
1.80103,0.79610,0.22439,0.79610,1.80103
1.80732,0.80073,0.22644,0.80073,1.80732
1.81361,0.80539,0.22851,0.80539,1.81361
1.81989,0.81007,0.23060,0.81007,1.81989
1.82618,0.81478,0.23272,0.81479,1.82618
1.83246,0.81953,0.23487,0.81953,1.83247
1.83875,0.82430,0.23704,0.82430,1.83875
1.84504,0.82910,0.23924,0.82910,1.84504
1.85132,0.83393,0.24147,0.83393,1.85132
1.85761,0.83879,0.24372,0.83879,1.85761
1.86390,0.84368,0.24600,0.84368,1.86390
1.87018,0.84860,0.24831,0.84860,1.87018
1.87647,0.85355,0.25066,0.85355,1.87647
1.88276,0.85853,0.25303,0.85853,1.88276
1.88904,0.86355,0.25543,0.86355,1.88904
1.89533,0.86860,0.25786,0.86860,1.89533
1.90161,0.87368,0.26032,0.87368,1.90161
1.90790,0.87879,0.26282,0.87879,1.90790
1.91419,0.88393,0.26534,0.88394,1.91419
1.92047,0.88911,0.26790,0.88911,1.92047
1.92676,0.89433,0.27050,0.89433,1.92676
1.93305,0.89957,0.27312,0.89957,1.93305
1.93933,0.90485,0.27579,0.90486,1.93933
1.94562,0.91017,0.27848,0.91017,1.94562
1.95190,0.91552,0.28122,0.91552,1.95191
1.95819,0.92091,0.28399,0.92091,1.95819
1.96448,0.92633,0.28680,0.92634,1.96448
1.97076,0.93179,0.28964,0.93179,1.97076
1.97705,0.93729,0.29252,0.93729,1.97705
1.98334,0.94283,0.29545,0.94283,1.98334
1.98962,0.94840,0.29841,0.94840,1.98962
1.99591,0.95401,0.30141,0.95401,1.99591
2.00220,0.95966,0.30446,0.95966,2.00220
2.00848,0.96534,0.30755,0.96534,2.00848
2.01477,0.97107,0.31068,0.97107,2.01477
2.02105,0.97684,0.31385,0.97684,2.02105
2.02734,0.98264,0.31707,0.98264,2.02734
2.03363,0.98849,0.32033,0.98849,2.03363
2.03991,0.99438,0.32364,0.99438,2.03991
2.04620,1.00031,0.32700,1.00031,2.04620
2.05249,1.00628,0.33040,1.00628,2.05249
2.05877,1.01229,0.33385,1.01229,2.05877
2.06506,1.01835,0.33736,1.01835,2.06506
2.07134,1.02445,0.34091,1.02445,2.07134
2.07763,1.03059,0.34451,1.03059,2.07763
2.08392,1.03678,0.34817,1.03678,2.08392
2.09020,1.04302,0.35187,1.04302,2.09020
2.09649,1.04930,0.35564,1.04930,2.09649
2.10278,1.05562,0.35946,1.05562,2.10278
2.10906,1.06199,0.36333,1.06199,2.10906
2.11535,1.06841,0.36726,1.06841,2.11535
2.12164,1.07487,0.37125,1.07487,2.12164
2.12792,1.08139,0.37530,1.08139,2.12792
2.13421,1.08795,0.37941,1.08795,2.13421
2.14049,1.09456,0.38358,1.09456,2.14049
2.14678,1.10122,0.38781,1.10122,2.14678
2.15307,1.10793,0.39211,1.10793,2.15307
2.15935,1.11469,0.39647,1.11469,2.15935
2.16564,1.12150,0.40090,1.12150,2.16564
2.17193,1.12836,0.40539,1.12836,2.17193
2.17821,1.13527,0.40995,1.13527,2.17821
2.18450,1.14224,0.41459,1.14224,2.18450
2.19078,1.14926,0.41929,1.14926,2.19078
2.19707,1.15634,0.42407,1.15634,2.19707
2.20336,1.16347,0.42892,1.16347,2.20336
2.20964,1.17065,0.43385,1.17065,2.20964
2.21593,1.17789,0.43885,1.17789,2.21593
2.22222,1.18519,0.44393,1.18519,2.22222
2.22850,1.19254,0.44909,1.19254,2.22850
2.23479,1.19995,0.45433,1.19995,2.23479
2.24108,1.20742,0.45966,1.20742,2.24108
2.24736,1.21495,0.46507,1.21495,2.24736
2.25365,1.22253,0.47056,1.22253,2.25365
2.25993,1.23018,0.47614,1.23018,2.25993
2.26622,1.23789,0.48181,1.23789,2.26622
2.27251,1.24566,0.48757,1.24566,2.27251
2.27879,1.25349,0.49343,1.25349,2.27879
2.28508,1.26138,0.49937,1.26138,2.28508
2.29137,1.26934,0.50542,1.26934,2.29137
2.29765,1.27736,0.51156,1.27736,2.29765
2.30394,1.28545,0.51780,1.28545,2.30394
2.31023,1.29360,0.52414,1.29360,2.31023
2.31651,1.30181,0.53058,1.30181,2.31651
2.32280,1.31010,0.53713,1.31010,2.32280
2.32908,1.31845,0.54378,1.31845,2.32908
2.33537,1.32687,0.55055,1.32687,2.33537
2.34166,1.33535,0.55742,1.33535,2.34166
2.34794,1.34391,0.56441,1.34391,2.34794
2.35423,1.35254,0.57151,1.35254,2.35423
2.36052,1.36123,0.57874,1.36123,2.36052
2.36680,1.37000,0.58608,1.37000,2.36680
